date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20050315,1001,6.04,100.15,10.69,2.92,0.39,2,0
20050322,1001,28.11,99.36,15.6,2.67,0.39,2,0
20050329,1001,0.0,99.82,13.87,6.06,0.39,2,0
20050405,1001,0.0,100.38,16.54,4.97,0.39,2,0
20050412,1001,7.43,99.29,18.42,3.8,0.39,2,0
20050419,1001,0.0,100.56,16.29,5.84,0.39,2,0
20050426,1001,20.85,99.3,14.4,3.09,0.39,2,0
20050503,1001,0.02,100.58,13.35,2.98,0.39,2,0
20050510,1001,0.34,100.19,21.47,4.12,0.39,2,0
20050517,1001,0.01,99.95,20.52,4.82,0.39,2,0
20050524,1001,0.0,99.24,23.89,4.87,0.39,2,0
20050531,1001,41.05,99.54,20.29,4.3,0.39,2,0
20050607,1001,2.18,99.86,25.22,2.19,0.39,2,0
20050614,1001,0.02,99.78,27.71,2.53,0.39,2,0
20050621,1001,1.53,100.45,24.74,4.31,0.39,2,0
20050628,1001,8.64,100.22,25.62,3.16,0.39,2,0
20050705,1001,1.87,100.32,25.13,4.32,0.39,2,0
20050712,1001,4.07,100.21,27.0,1.88,0.39,2,0
20050719,1001,3.35,100.35,27.38,3.32,0.39,2,0
20050726,1001,0.48,100.04,28.62,2.93,0.39,2,0
20050802,1001,2.2,100.17,25.51,2.28,0.39,2,0
20050809,1001,6.87,100.03,25.94,2.98,0.39,2,0
20050816,1001,8.27,100.24,28.77,3.14,0.39,2,0
20050823,1001,1.09,99.77,28.28,1.68,0.39,2,0
20050830,1001,2.91,99.02,26.25,10.9,0.39,2,0
20050906,1001,0.0,100.69,22.49,2.65,0.39,2,0
20050913,1001,0.0,100.09,24.13,3.1,0.39,2,0
20050920,1001,0.0,100.4,27.29,3.59,0.39,2,0
20050927,1001,0.44,99.9,24.38,1.68,0.39,2,0
20051004,1001,0.01,100.4,23.78,2.2,0.39,2,0
20051011,1001,0.0,99.89,20.33,3.87,0.39,2,0
