date,fips,PRECTOT,PS,T2M,WS50M_RANGE,slope3,SQ1,class
20010626.0,1119.0,2.56,101.3,24.99,3.79,0.5154,1.0,0
20020507.0,1059.0,0.02,99.62,24.08,2.32,0.1832,1.0,0
20080819.0,1025.0,7.7,100.54,26.16,2.43,0.0191,2.0,1
20070123.0,1039.0,0.17,100.99,6.98,2.46,0.4612,3.0,0
20141202.0,1125.0,0.41,101.26,12.84,2.28,0.1605,1.0,1
20071016.0,1067.0,0.26,100.31,21.62,2.85,0.2645,3.0,1
20161115.0,1127.0,0.58,99.49,12.9,3.05,0.2979,1.0,1
20110607.0,1021.0,0.04,99.93,29.04,2.72,0.0566,2.0,1
20010206.0,1019.0,0.0,98.67,5.94,4.37,0.0675,2.0,1
20030624.0,1023.0,2.92,100.85,27.48,2.92,0.1418,2.0,0
20130409.0,1097.0,0.01,101.31,21.59,2.83,0.5293,1.0,1
20080212.0,1103.0,9.54,98.49,11.56,5.43,0.5713,3.0,1
20090512.0,1003.0,6.97,101.31,23.46,3.55,0.1005,2.0,0
20080930.0,1053.0,0.0,100.52,22.95,4.19,0.2449,1.0,1
20000404.0,1045.0,0.48,100.76,13.22,6.14,0.3585,2.0,1
20030121.0,1069.0,0.1,100.84,14.17,3.1,0.523,3.0,0
20051011.0,1055.0,0.0,98.42,20.66,3.11,0.0205,2.0,0
20151124.0,1127.0,0.0,100.69,5.88,5.71,0.2979,1.0,0
20051227.0,1059.0,0.01,99.13,8.49,4.42,0.1832,1.0,0
20110322.0,1033.0,0.0,99.11,18.46,4.37,0.5934,1.0,1
20140909.0,1107.0,0.21,100.57,28.2,3.66,0.2742,2.0,1
20080115.0,1113.0,0.0,100.56,4.65,2.88,0.2785,1.0,1
20130212.0,1007.0,24.21,99.9,9.32,2.49,0.5104,1.0,0
20060425.0,1067.0,0.74,100.01,23.72,2.03,0.2645,3.0,1
20001010.0,1033.0,0.0,100.38,10.38,2.93,0.5934,1.0,1
20090512.0,1045.0,2.22,100.86,21.22,1.99,0.3585,2.0,0
20151229.0,1019.0,0.22,98.43,12.53,3.92,0.0675,2.0,0
20120918.0,1089.0,22.8,98.11,18.7,4.83,0.3696,3.0,0
20100413.0,1089.0,0.0,99.55,18.59,4.99,0.3696,3.0,0
20000321.0,1019.0,0.0,98.86,10.78,3.14,0.0675,2.0,1
20030819.0,1057.0,1.75,100.01,28.6,2.05,0.0596,2.0,0
20120403.0,1081.0,4.17,99.05,21.74,5.74,0.2937,1.0,1
20080610.0,1037.0,10.31,99.81,27.16,2.72,0.0444,2.0,1
20050621.0,1133.0,2.29,99.45,24.36,3.77,0.1868,2.0,0
20010925.0,1093.0,0.0,99.75,12.35,1.92,0.1357,1.0,0
20160531.0,1013.0,2.07,100.19,27.19,3.74,0.5155,3.0,0
20090407.0,1071.0,0.22,97.53,3.12,2.54,0.4644,1.0,0
20091020.0,1123.0,0.0,100.23,11.3,3.44,0.1572,2.0,0
